idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
47,0.447015967225463,0.729139323942019,2.42088461305596,0.276396325401853,0.871594151464235,0,1,1,52.5,51.47,303,0.34,2.52252192455153,1.96128971185108,1.84172224694039,0,7
48,0.442155881895241,0.730428176997356,2.40312857039594,0.27832288891114,0.864268909910597,0,1,1,52.5,51.49,300,0.33,2.47047380769811,1.92918165200025,1.79608691115457,0,7
49,0.446302511871615,0.739480884419138,2.36845680579724,0.266609145216233,0.863466056110261,0,1,1,52.5,51.51,296,0.33,2.41998073074248,1.89335725215644,1.76066985102995,0,7
50,0.440935347056018,0.742181121880984,2.3142711767162,0.268502069724752,0.890298583840216,0,1,1,52.5,51.53,292,0.31,2.36505769983773,1.85611627099662,1.71560669854508,0,7
51,0.438279336505006,0.732160899679313,2.37814456004323,0.272268050918989,0.878483773922877,0,1,1,52.5,51.55,285,0.29,2.26860007428908,1.79236960229639,1.64430931637667,0,7
52,0.443590422813707,0.737604555445734,2.34039498250253,0.266959152318845,0.902569614503816,0,1,1,52.5,51.57,280,0.28,2.21398645169694,1.75605448158822,1.60566681254292,0,7
53,0.443356300768481,0.750987548626444,2.25980000425918,0.250342364983199,0.894479079308684,0,1,1,52.5,51.59,271,0.26,2.11211451251808,1.68230416076985,1.52955410018579,0,7
54,0.442302084318716,0.740543262537397,2.29671363016094,0.263194215527479,0.909152177913046,0,1,1,52.5,51.61,264,0.24,2.03356201143891,1.62960579365127,1.47075531703514,0,7
55,0.442793175581818,0.773622565022977,2.0742045856724,0.232261889208555,0.929028856753784,0,1,1,52.5,51.65,240,0.2,1.81290772215241,1.46419545027,1.30880347670201,0,7
56,0.440155777538533,0.766142625111091,2.11185262495015,0.230470745424982,0.919559737022376,0,1,1,52.5,51.67,233,0.18,1.75570688242605,1.42320933953317,1.26191512524726,0,7
57,0.435207315006139,0.767801477250042,2.09849544499435,0.227679371732898,0.930890738385768,0,1,1,52.5,51.69,223,0.17,1.68252516339772,1.37275733698072,1.20818615403152,0,7
58,0.426240505883766,0.762299705752314,2.09721610920958,0.236203502696624,0.9532716646142,0,1,1,52.5,51.71,214,0.15,1.59854484298192,1.31234860827363,1.15361575888898,0,7
59,0.432659799006898,0.713867591839066,2.44141148528073,0.310085033967691,0.861199057586909,0,1,1,55,53.82,333,0.45,3.01967566254998,2.3110847655998,2.24118034596421,0,7
60,0.41881763623355,0.719062342705112,2.41113646839602,0.298953380994614,0.851781968822038,0,1,1,55,53.84,330,0.44,2.9879974083318,2.28714708507438,2.21354162673467,0,7
61,0.428714573184796,0.716198988727028,2.46002495389191,0.301992991709486,0.851102717866422,0,1,1,55,53.86,327,0.43,2.91994989425474,2.23883701148329,2.15831530605246,0,7
62,0.440349368288653,0.718019415244988,2.46440229431879,0.295800415325114,0.861039187232691,0,1,1,55,53.88,325,0.41,2.87069935589294,2.20303434042091,2.11815204988618,0,7
63,0.434878087039941,0.717216054164156,2.45288563941946,0.298787214808355,0.849145782780534,0,1,1,55,53.9,322,0.41,2.82108821032158,2.16971078182668,2.07665387143091,0,7
64,0.412003204622533,0.706274543040371,2.4358360618389,0.312886034723284,0.856532759141976,0,1,1,55,53.92,319,0.4,2.76332692949857,2.1259720801955,2.02857105218144,0,7
65,0.425497799836951,0.716630118530622,2.43482069773439,0.299877802637528,0.877119409146828,0,1,1,55,53.94,316,0.39,2.7241277666699,2.10205814417435,1.99601958234128,0,7
66,0.424885316360269,0.722804481387785,2.39566186172103,0.296536077120955,0.882967746870777,0,1,1,55,53.96,314,0.37,2.676835694979,2.0704927170704,1.95604022394217,0,7
67,0.43112189765005,0.729107426688248,2.39808169665516,0.285879665980825,0.862338801074227,0,1,1,55,53.98,311,0.37,2.6157622114456,2.03141819484289,1.90727540073066,0,7
68,0.430164208685346,0.726723060376152,2.36640169040126,0.296915867804105,0.876793666231076,0,1,1,55,54,305,0.35,2.54786254314153,1.9843903398452,1.85051482026908,0,7
69,0.421825522950863,0.712514606549434,2.43355104967335,0.303692667666849,0.870468566981816,0,1,1,55,54,305,0.35,2.5454218285183,1.98419033232173,1.84817633080413,0,7
70,0.416679374544744,0.714336738338453,2.43229848770836,0.304274013657076,0.856087932880027,0,1,1,55,54.04,300,0.33,2.45651921955525,1.92453075492345,1.78014011249653,0,7
71,0.415149061032251,0.701193431219937,2.4799856320474,0.318539183911997,0.858077284727222,0,1,1,55,54.06,298,0.33,2.42750938627986,1.90557623042483,1.75241647869201,0,7
72,0.436591590751968,0.751010108596061,2.2276457344349,0.255054308128022,0.905256747275178,0,1,1,55,54.08,290,0.25,2.04825857837089,1.62315126008796,1.47375185886415,0,7
73,0.44076279854927,0.755572346052134,2.21957186746627,0.246304265611281,0.917765602673047,0,1,1,55,54.1,285,0.24,1.98250178980895,1.58075299821408,1.42601985441093,0,7
74,0.422350116697735,0.74640234071774,2.20508580935511,0.261171704707026,0.908134204288232,0,1,1,55,54.12,281,0.21,1.91792464756893,1.53621943898748,1.37863297354211,0,7
75,0.406768019228937,0.724029077007733,2.28569852790661,0.284706324734534,0.923090015440627,0,1,1,55,54.14,273,0.2,1.84624606581746,1.48758854834859,1.3267696555684,0,7
76,0.426635522440641,0.759878419452888,2.12822174156107,0.246046450900473,0.924222550914281,0,1,1,55,54.16,266,0.19,1.77928000903627,1.43944808616297,1.27880884276441,0,7
77,0.428835893552861,0.771117040144353,2.05871587713749,0.230449894656391,0.939687213596779,0,1,1,55,54.18,258,0.18,1.70802865984516,1.38653472690214,1.22867889201733,0,7
78,0.426052692479028,0.745512017653725,2.2144584050175,0.254442351006949,0.89394820105658,0,1,1,55,54.2,255,0.17,1.67798559208738,1.36974047525587,1.20951933356507,0,7
79,0.420842237018122,0.782950470553233,2.00377001845023,0.214727591104328,0.945350768384277,0,1,1,55,54.22,246,0.16,1.59593644413254,1.30885991157209,1.15432806018078,0,7
80,0.427363519272955,0.722470270348375,2.40634056810068,0.297638404018006,0.844788886397099,0,1,1,57.5,56.3,337,0.46,3.14073623624861,2.40131498786564,2.31350766980813,0,7
81,0.414227493621517,0.700319345621603,2.47003378047732,0.326995291120384,0.847521888015531,0,1,1,57.5,56.32,335,0.46,3.09401151456039,2.36596512115249,2.27489849612754,0,7
82,0.424217487100584,0.709511714038399,2.46165616305068,0.315174402849256,0.852368632696766,0,1,1,57.5,56.34,333,0.45,3.03750593561469,2.32711412020071,2.22818094743968,0,7
83,0.407731758394501,0.697826966825306,2.47883166440147,0.328643321872745,0.866528351808515,0,1,1,57.5,56.36,330,0.44,2.98674135719442,2.2886544916905,2.18506723332937,0,7
84,0.420073258342921,0.719538344198362,2.38720511276798,0.296633585699688,0.821890826127328,0,1,1,57.5,56.38,327,0.42,2.93547721262357,2.2500814685628,2.14377623182185,0,7
85,0.421104667106584,0.713297288043712,2.42536620474001,0.306877608095655,0.868752880187092,0,1,1,57.5,56.4,326,0.42,2.89494502752005,2.22126063905705,2.10735239911064,0,7
86,0.419620237207963,0.716784219278628,2.41842489492344,0.306681336479346,0.880425183077548,0,1,1,57.5,56.42,323,0.41,2.85350121371933,2.19222543013334,2.07303899289556,0,7
87,0.423330202186418,0.717710217322654,2.40477037465447,0.307967823810391,0.848923281848571,0,1,1,57.5,56.44,323,0.41,2.79391413782504,2.15072451414813,2.02400876170995,0,7
88,0.404251678876009,0.702326104056635,2.43271185784376,0.325144888256665,0.869844406553842,0,1,1,57.5,56.46,317,0.38,2.75345335802583,2.12229602705846,1.99058632721603,0,7
89,0.417351179558078,0.720918161370321,2.37123731816263,0.298015770981139,0.880867976205079,0,1,1,57.5,56.48,314,0.37,2.6879514874593,2.07556608424501,1.93618053737522,0,7
90,0.424718396310381,0.728884224029855,2.33718428010011,0.295995703992874,0.866909834557371,0,1,1,57.5,56.5,310,0.37,2.63113390354288,2.03841943247077,1.88939432996212,0,7
91,0.407873230073562,0.71234203815304,2.3762226855091,0.316699829583849,0.878496709675039,0,1,1,57.5,56.52,307,0.36,2.573894908805,1.99951867639915,1.84362663113791,0,7
92,0.41276977844412,0.71067144237876,2.40700739959522,0.313779641551548,0.861900007776699,0,1,1,57.5,56.54,303,0.35,2.52138106676624,1.96432269484071,1.80268352241863,0,7
93,0.418609436196808,0.736257749112809,2.30395456310274,0.282231768969895,0.885518685021313,0,1,1,57.5,56.56,294,0.31,2.38509408191453,1.8670916833799,1.70337001561217,0,7
94,0.407702854892871,0.715973365790793,2.3478083988321,0.300170494963202,0.902464014609586,0,1,1,57.5,56.58,289,0.3,2.32291732553076,1.82702798950092,1.66105971556938,0,7
95,0.426553597030402,0.744712540959189,2.24087934124008,0.270801167841002,0.874571124060941,0,1,1,57.5,56.6,285,0.29,2.26154975283995,1.78576989542637,1.61436182039055,0,7
96,0.410229681730915,0.727685523424197,2.27972025123342,0.292725464045253,0.888813362026092,0,1,1,57.5,56.62,279,0.28,2.18495492869158,1.73766582687362,1.55996250352989,0,7
97,0.411650016134921,0.729863077686626,2.27971361356987,0.286795799597261,0.85992674490975,0,1,1,57.5,56.64,274,0.27,2.12721688759882,1.69808749960907,1.51289643986925,0,7
98,0.409387006317896,0.757690559175633,2.14446770677811,0.257462839175649,0.921085297415971,0,1,1,57.5,56.66,274,0.26,2.05677024673386,1.6511112942038,1.46094032060892,0,7
99,0.407373773033057,0.725520924023449,2.27369147359947,0.292547078348148,0.896913313636351,0,1,1,57.5,56.68,274,0.24,1.99668611925732,1.61005751544065,1.41942728803271,0,7
100,0.406315715428316,0.735586188633723,2.21408463981342,0.279765001683957,0.930569687888914,0,1,1,57.5,56.7,268,0.26,2.06693576313331,1.6698633016635,1.47052818192413,0,7
101,0.419579713902197,0.750638042335986,2.18367580121195,0.262632200412337,0.91068095635752,0,1,1,57.5,56.72,263,0.24,1.9966328243105,1.62056365106834,1.41935288394981,0,7
102,0.396927645298408,0.730065559887278,2.22594453319623,0.286725695823585,0.92740352158308,0,1,1,57.5,56.74,245,0.22,1.90507944113065,1.55748886039241,1.35529509983285,0,7
103,0.412408417743653,0.755812195785591,2.1116023960098,0.256519379674865,0.911797499924111,0,1,1,57.5,56.76,245,0.2,1.82633603214019,1.50293635217064,1.30068712853644,0,7
104,0.385311486756427,0.748671108781912,2.08692565101358,0.273359606650945,0.925031451484056,0,1,1,57.5,56.78,236,0.19,1.75469941579489,1.44998441862527,1.24863074126955,0,7
105,0.40518306059248,0.767931193365075,2.02381954181073,0.240067379820122,0.94467269177964,0,1,1,57.5,56.8,226,0.17,1.66795758673894,1.38764605997773,1.19415910665374,0,7
106,0.403128421107392,0.74853661092564,2.11625428861795,0.259928406967174,0.906238208030086,0,1,1,57.5,56.82,215,0.16,1.574931900943,1.317691571148,1.13135873755655,0,7
107,0.380038032489981,0.717535123344287,2.29385271221518,0.316049145972029,0.906906782697796,0,1,1,60,58.87,327,0.42,2.93762193003632,2.26243694902021,2.11190435100504,0,7
108,0.368934054686315,0.700859253444723,2.32817938864249,0.333331005858109,0.864706303733309,0,1,1,60,58.89,325,0.41,2.88777389177918,2.22925428106501,2.07305426732791,0,7
109,0.374736426809865,0.704473406128918,2.33912784378506,0.328052919956128,0.889574502566135,0,1,1,60,58.91,322,0.4,2.83437466883113,2.18772813272047,2.04207553808537,0,7
110,0.391627557989466,0.71211883839175,2.32436572067538,0.317109621518973,0.859900829376268,0,1,1,60,58.93,322,0.4,2.8562807655987,2.20317219851699,2.05048812173927,0,7
111,0.361828786787388,0.714316327842622,2.28391471572731,0.321165664409847,0.904480338131907,0,1,1,60,58.95,320,0.4,2.82048303239833,2.17773719873284,2.01598087982,0,7
112,0.414426005541394,0.717627809512875,2.30694208304659,0.313893802111245,0.838185687712517,0,1,1,60,58.97,317,0.4,2.76419610402482,2.13973643645484,1.9732407237779,0,7
113,0.361157746465708,0.720284656496247,2.27582332268222,0.309913808797226,0.904467355945308,0,1,1,60,58.99,315,0.37,2.7220897657649,2.11057322709086,1.93270064032895,0,7
114,0.377781267485303,0.713775874375446,2.28828012770536,0.319276624442224,0.88428635063913,0,1,1,60,59.01,311,0.37,2.65405493215727,2.0656074220729,1.87952335953426,0,7
115,0.398282095993667,0.721459078841048,2.26495160608175,0.310462041226751,0.852902899899576,0,1,1,60,59.03,305,0.36,2.59302321802675,2.02516810428798,1.8343563287173,0,7
116,0.399329202748595,0.736691665070502,2.21032552893865,0.291581239887047,0.854632142823487,0,1,1,60,59.05,301,0.33,2.50972191040489,1.97310993475603,1.77501523735781,0,7
117,0.385390527281127,0.705805959825525,2.27115924690895,0.327402858853906,0.864181834494511,0,1,1,60,59.07,292,0.3,2.36288312439389,1.86242170023118,1.67937393984396,0,7
118,0.377627363254758,0.727061218554602,2.19298705324175,0.302248362135004,0.875644034561645,0,1,1,60,59.09,287,0.29,2.30288017297694,1.82246198240256,1.63097908308599,0,7
119,0.381303393645391,0.732514870051861,2.17212580171714,0.295237208975185,0.901590218443913,0,1,1,60,59.11,282,0.28,2.24583454166793,1.78417138966783,1.5902673580441,0,7
120,0.390472274740127,0.740444562915574,2.14285010802589,0.283663903564249,0.885247868307648,0,1,1,60,59.13,277,0.27,2.18503063457897,1.7437810681087,1.5445570667839,0,7
121,0.366108572562261,0.724858290204265,2.19961579706896,0.302332609971361,0.9128176583965,0,1,1,60,59.15,270,0.25,2.10972061883046,1.69486588252768,1.48816811203305,0,7
122,0.372719080618646,0.751936235807204,2.03522698062512,0.275116715252897,0.930495398662395,0,1,1,60,59.17,264,0.24,2.04263548064716,1.65049955671103,1.44216499002162,0,7
123,0.382895175517318,0.715338283474255,2.18480334910307,0.308107883282218,0.888985593531716,0,1,1,60,59.19,257,0.23,1.98015303648306,1.60464176735082,1.39330035889058,0,7
124,0.311318302409133,0.709672840820382,2.17859875237193,0.314574559757028,0.953723995939197,0,1,1,60,59.21,239,0.2,1.80774326426358,1.47718925434258,1.27594973536772,0,7
125,0.42069784267974,0.780311188101815,1.88238775427004,0.239619365878821,0.931199621760101,0,1,1,60,59.23,230,0.18,1.72942292258287,1.4189082075567,1.2196737055934,0,7
126,0.310465662412945,0.722940342962899,2.08606135893567,0.299655742551359,0.968495462254087,0,1,1,60,59.25,221,0.17,1.64990062070389,1.36390409411983,1.1694566402393,0,7
127,0.378954324605332,0.756120797858666,1.98454736151254,0.258629663804795,0.933362170105054,0,1,1,60,59.27,211,0.15,1.56092218531138,1.29348023745871,1.11092022838566,0,7
