idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
27,0.463293375297619,0.764549374598612,2.15480728651095,0.220307081624985,0.950697587419467,0,1,1,45,44.31,268,0.22,1.7794279736477,1.59806250372574,1.57437916536396,0,6
28,0.452583933805542,0.760190351664057,2.17379271294076,0.223799176833728,0.943328476997174,0,1,1,45,44.33,260,0.21,1.71832170064317,1.5463047273039,1.52051690943366,0,6
29,0.465360907120591,0.775542491973135,2.15313948205841,0.211869896828943,0.933963580229124,0,1,1,45,44.35,248,0.2,1.62267711946942,1.46415417796839,1.43327170301009,0,6
30,0.455212679339477,0.763556953713178,2.15759153726916,0.220157608756847,0.932311439388525,0,1,1,45,44.37,238,0.17,1.54922401642018,1.40076692771172,1.36766227754537,0,6
31,0.463266747835943,0.772164996216392,2.11512934617452,0.209088164140017,0.943472679695972,0,1,1,45,44.39,226,0.16,1.46305696412063,1.32545845548295,1.29421190421955,0,6
32,0.460553100433171,0.780713259634001,2.04742479375241,0.197985470078617,0.953192465029667,0,1,1,45,44.41,215,0.14,1.38315245740513,1.25673146825857,1.22299494306166,0,6
33,0.445246156927946,0.717710217322654,2.4818880804488,0.282259061299346,0.818619522427921,0,1,1,47.5,46.25,361,0.53,3.11915024104094,2.74557577723046,2.82631937925948,0,6
34,0.475796576713762,0.746368915227418,2.38124795588751,0.248444697876902,0.874336130730794,0,1,1,47.5,46.27,359,0.52,3.07578600203642,2.70381004526126,2.7835604341787,0,6
35,0.469845585974344,0.74714962418374,2.35666006458486,0.250072980327799,0.877319024202342,0,1,1,47.5,46.29,357,0.51,3.04501339221232,2.67657713885628,2.75171074086975,0,6
36,0.465005486165361,0.746703304908828,2.36560823312149,0.250447670335094,0.880491931023514,0,1,1,47.5,46.31,356,0.5,3.01616592751886,2.65417689029059,2.725752729152,0,6
37,0.458909141604848,0.731336297683127,2.43795543359466,0.266873388552377,0.853348234728105,0,1,1,47.5,46.33,355,0.5,2.98468087601369,2.62218657886151,2.69136945151359,0,6
38,0.477454192466384,0.736561436589426,2.43438977153211,0.25844977011521,0.81567941151128,0,1,1,47.5,46.35,353,0.49,2.94820022372896,2.59368677083143,2.6567833369636,0,6
39,0.477468555215269,0.755309828091483,2.32423655567259,0.242761339845366,0.858004694127137,0,1,1,47.5,46.37,351,0.48,2.9044149153162,2.55486487710283,2.61608058110066,0,6
40,0.465878343318943,0.748301355922057,2.34230426241474,0.252226499588895,0.868089300567007,0,1,1,47.5,46.39,349,0.47,2.86947152240006,2.52486548137187,2.5844835196794,0,6
41,0.471969455793695,0.75576649838266,2.28495486737828,0.243870245728709,0.889254250748059,0,1,1,47.5,46.41,347,0.46,2.82162102952182,2.48365511573146,2.53739923184875,0,6
42,0.462621730647701,0.739360600952297,2.36467230250669,0.254279967729607,0.885048745603595,0,1,1,47.5,46.43,345,0.45,2.77985945754333,2.45015332270442,2.49889078155457,0,6
43,0.46402883348491,0.731036902742851,2.42271682018063,0.269804413921042,0.82623873190769,0,1,1,47.5,46.45,343,0.44,2.73485947385328,2.41232749662469,2.45718025863294,0,6
44,0.466283240024783,0.75924379318199,2.2636034263669,0.239953210144099,0.896424305950737,0,1,1,47.5,46.47,340,0.43,2.68950362705726,2.37719130400784,2.41883176750622,0,6
45,0.471253727400038,0.754420906512161,2.31646055234838,0.23860184974043,0.898904920570936,0,1,1,47.5,46.49,338,0.41,2.63448909248647,2.32613434997965,2.36772728483517,0,6
46,0.458157223181629,0.735056305312987,2.40749874481626,0.262344998864693,0.857576269569339,0,1,1,47.5,46.51,335,0.41,2.5884846464945,2.28951831480331,2.3253937962555,0,6
47,0.460375563354682,0.748446972531996,2.31339246512763,0.248920412363443,0.895004221469632,0,1,1,47.5,46.53,332,0.39,2.52841496494192,2.24333376911647,2.26830718499849,0,6
48,0.469003000047922,0.761765467647821,2.25573801170503,0.233527638021943,0.889473983400743,0,1,1,47.5,46.55,329,0.38,2.47937394586623,2.20389613336644,2.22353474685249,0,6
49,0.43992869924912,0.725678872585304,2.40324829439165,0.274268591470773,0.862770735378393,0,1,1,47.5,46.57,326,0.38,2.43303234206482,2.16621008222577,2.17931238455673,0,6
50,0.452460539321228,0.746770218803675,2.31442235424805,0.251158996326611,0.8806941059272,0,1,1,47.5,46.59,323,0.37,2.38385584297908,2.12375634723288,2.13411153964119,0,6
51,0.464419828395749,0.75086349301697,2.33536627899398,0.246177335199868,0.868255358188573,0,1,1,47.5,46.61,320,0.35,2.33511652310132,2.08172319522934,2.08906359991217,0,6
