idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Skewness_S,Kurtosis_S,Variance_S,RMS_S,Skewness_T,Kurtosis_T,Variance_T,RMS_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
75,-0.00158886370920009,1.54477330830691,7.29638161220851,2.70116251054091,-0.0117942941046211,1.53494824343274,7.34863402223915,2.71082598634059,-0.0133297596722841,1.56253668585023,7.73065701339497,2.78037978250333,50,49.01,361,0.49,2.70116251054092,2.71082598634059,2.78037978250333,0,1
76,-0.00362390281568723,1.54516000791674,7.10740277640279,2.66594984293471,-0.0126756565325992,1.53385485292948,7.15594772733271,2.67504548268424,-0.0145801710800894,1.56193117362847,7.53591657321331,2.7451352760051,50,49.03,359,0.48,2.66594984293471,2.67504548268424,2.7451352760051,0,1
77,-0.00339620587269851,1.54810325411353,6.9026146201744,2.62727765472249,-0.015960131209462,1.5348583275901,6.94277692192921,2.63491057697614,-0.0140702347615272,1.56057917663405,7.31889147928011,2.70531995064586,50,49.05,357,0.47,2.62727765472249,2.63491057697613,2.70531995064586,0,1
78,-0.00551318293629672,1.54727006368078,6.68840281827532,2.58618676284833,-0.0136879979534518,1.53688575728674,6.72193467406963,2.59266294661905,-0.013869237697266,1.5578083295056,7.10772464798437,2.66600497632315,50,49.07,355,0.46,2.58618676284833,2.59266294661905,2.66600497632315,0,1
79,-0.00827492599319138,1.5501115386427,6.47027140254158,2.54365801542145,-0.0129421753526115,1.53397546232922,6.48104401632749,2.54578081848181,-0.0122699622884523,1.55767725612892,6.88311042004654,2.62354241570956,50,49.09,353,0.44,2.54365801542145,2.54578081848181,2.62354241570956,0,1
80,-0.00991933239286069,1.55113802971236,6.26756370145795,2.50349568478896,-0.0127877736006677,1.5351308361514,6.2659120160721,2.50317534714202,-0.011760154670843,1.55659461563702,6.67253233238205,2.58309870831241,50,49.11,351,0.43,2.50349568478896,2.50317534714202,2.58309870831241,0,1
81,-0.0108705995884216,1.55350089482558,6.01398833825546,2.45232958931919,-0.0130423774143676,1.53916089242819,6.01546343978892,2.45263302197832,-0.0116514251741552,1.55655218352985,6.40715727102538,2.53121269401643,50,49.13,347,0.42,2.45232958931919,2.45263302197832,2.53121269401643,0,1
82,-0.0103489003849166,1.55726161862001,5.47127484896435,2.33906789350339,-0.0132748527493902,1.53611954974974,5.43887365339501,2.33214606284684,-0.0100539277064888,1.55196997503757,5.80330051353222,2.40897996672346,50,49.17,341,0.39,2.33906789350339,2.33214606284684,2.40897996672346,0,1
83,-0.0103905601894257,1.55559248150771,5.2653877098461,2.29463659744701,-0.0121002811002165,1.53490166167997,5.24464673215505,2.29011316015579,-0.00843992403037859,1.55211941488495,5.58293071056745,2.36279913757343,50,49.19,338,0.38,2.29463659744701,2.29011316015579,2.36279913757343,0,1
84,-0.0104242651507266,1.55640369290687,5.10714990483052,2.25989389325582,-0.0115124609650469,1.53579399787748,5.09525445621676,2.2572642502672,-0.00705581421019936,1.55306372656785,5.41072071792961,2.32607233526904,50,49.21,336,0.38,2.25989389325583,2.2572642502672,2.32607233526904,0,1
