idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,scm_COR_S,scm_IDM_S,scm_ENT_S,scm_CSD_S,scm_CSR_S,scm_DKL_S,scm_MDR_S,scm_CAD_S,scm_COR_T,scm_IDM_T,scm_ENT_T,scm_CSD_T,scm_CSR_T,scm_DKL_T,scm_MDR_T,scm_CAD_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
32,0.973125240692294,0.92973093586716,2.08357678784043,0.0419613376786149,0.975208393368485,0,1,1,0.974923690785509,0.936610220290723,2.04761486092266,0.0340890088840338,0.989262194352379,0,1,1,0.968698023624995,0.915398839274272,2.25802236369875,0.0380169095735139,0.822286463107204,0,1,1,45,44.49,212,0.12,1.20135414559844,1.21717108952675,1.22032662320949,0,1
33,0.973884182455912,0.890836852138899,2.51966906838184,0.0552436548097067,0.320648625689074,0,1,1,0.977832117748138,0.915231278944189,2.34930400272943,0.0481014935552226,0.414939952371059,0,1,1,0.960851116221313,0.875089696693911,2.418433382998,0.0898135620231253,0.691552089921792,0,1,1,47.5,46.33,373,0.58,2.98729907354967,2.99860438744414,3.06045102364073,0,1
34,0.97598905362876,0.907161129959903,2.36828724535717,0.0563766445480758,0.42976063333865,0,1,1,0.977192024410653,0.914177057812557,2.35609322912819,0.0468550570053095,0.418506838759685,0,1,1,0.962385080364242,0.885378853611461,2.3401752322834,0.0851662656403607,0.780198629595825,0,1,1,47.5,46.35,372,0.57,2.95075775888202,2.96085948347133,3.0257014511,0,1
35,0.970179940305715,0.910564367795159,2.32821938049759,0.0335130150417525,0.670399660133473,0,1,1,0.978257811872285,0.920929033208701,2.32252741252694,0.038100738407833,0.441225815570264,0,1,1,0.962156704090856,0.873515024458421,2.46862649324118,0.0841468044041753,0.60013207043721,0,1,1,47.5,46.37,371,0.56,2.91523326290469,2.92813738363723,2.99093637665335,0,1
36,0.973358343911358,0.890028124888746,2.49403856963763,0.0644100295701144,0.351092632747052,0,1,1,0.965227145064248,0.901193179770016,2.25131120605288,0.0651952134683518,0.883281591322655,0,1,1,0.961252219031175,0.87188519015816,2.45678475980264,0.0889624658257755,0.629734693160319,0,1,1,47.5,46.39,369,0.55,2.88625203571036,2.89636706112283,2.96063622876526,0,1
37,0.974067133226096,0.89394264463992,2.44216852873274,0.0706591827452944,0.387306783917921,0,1,1,0.977413533312584,0.916388695429053,2.34260540857933,0.0446473031745247,0.444784734535897,0,1,1,0.962355737740067,0.870989095216527,2.49011187853072,0.0857266968656913,0.56209265071106,0,1,1,47.5,46.41,367,0.53,2.83895360225709,2.84913553076617,2.91274135112286,0,1
38,0.97768022136525,0.896957520091848,2.54696765932457,0.0505049539743264,0.262143834928446,0,1,1,0.959531229254907,0.892395009727105,2.34829954509522,0.0504891703537767,0.799882735963578,0,1,1,0.963674090569995,0.883361011978375,2.40426454223052,0.0772186620310866,0.672926319785534,0,1,1,47.5,46.43,365,0.52,2.80361845982614,2.81534605448329,2.88306825840673,0,1
39,0.976829909665595,0.895142954329806,2.54377035762444,0.0528012962253317,0.272108950313563,0,1,1,0.977679182477061,0.917767988252569,2.34136029960768,0.0419863941787983,0.430221492644321,0,1,1,0.962343692996699,0.886210563629919,2.34332032305581,0.0825074432958126,0.784350538590975,0,1,1,47.5,46.45,364,0.52,2.76616067517851,2.77653395556972,2.84414524969707,0,1
40,0.976765088033944,0.90872741812366,2.37259478748,0.0552094598424382,0.395005147099294,0,1,1,0.978147331694864,0.92038656235619,2.32819716359775,0.0393431505447757,0.433593112605575,0,1,1,0.965000501638093,0.882955428409974,2.43873594853439,0.0732209588728592,0.592742568924404,0,1,1,47.5,46.47,362,0.51,2.72921064695173,2.74004123307032,2.80845238792777,0,1
41,0.976245828334787,0.893527288323385,2.54059109331724,0.0555172559866711,0.280390196323214,0,1,1,0.971611170116333,0.941921142361962,2.01983151396198,0.0147106293703901,0.999183866258386,0,1,1,0.967805439510024,0.889616397409437,2.42960865245262,0.0659749964445372,0.548115563905816,0,1,1,47.5,46.49,360,0.5,2.69951064285488,2.70798618957842,2.77376603325247,0,1
