idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
86,0.378358143501883,8.11666695329652,16.4978046343613,4.06250858682858,52.5,51.34,362,0.48,2.83314141686826,2.68937774868323,2.82646714519611,0,3
87,0.607626375689619,8.31615515676066,16.4796193904577,4.05946923969184,52.5,51.36,360,0.49,2.79295274859482,2.65146287397084,2.78823176133128,0,3
88,0.433994999435712,8.29748509695759,15.958531538138,3.99512151949768,52.5,51.38,359,0.48,2.75470850006708,2.61437087267207,2.75194714349157,0,3
89,0.442584626319364,8.45676298704941,16.0862117452494,4.01509032135375,52.5,51.4,356,0.47,2.70312724330244,2.5644590917694,2.70245284272353,0,3
90,0.40409379118311,8.32552242429744,15.9526319602307,3.99644751174185,52.5,51.42,354,0.45,2.6633370641756,2.52400443682357,2.66052010483996,0,3
91,0.523964192584441,8.3899075612452,15.8386567388331,3.97975215835559,52.5,51.44,352,0.43,2.60528106624185,2.45692186145711,2.59907548016321,0,3
92,0.386173727411471,8.23779944098109,15.7410963303468,3.96751639170744,52.5,51.46,349,0.42,2.58258387303857,2.44294425734456,2.58134849000098,0,3
93,0.413571058124993,8.07557801239919,16.1079373566102,4.01457505127137,52.5,51.48,347,0.41,2.54097019612405,2.41080885078044,2.5483640185898,0,3
94,0.549468735998167,8.13814597241983,16.3600081183712,4.04474116280819,52.5,51.5,345,0.4,2.49506691713062,2.36101814834402,2.50045970358387,0,3
95,0.332313420227196,8.35951909413634,15.2637582749933,3.90691650375511,52.5,51.52,343,0.39,2.45300311559256,2.32225208183323,2.45500447297916,0,3
96,0.245072517784389,8.19817305389397,14.9710579059514,3.8692160727381,52.5,51.54,339,0.39,2.39541488141186,2.26912164772431,2.39568466465017,0,3
97,0.37123241329089,8.28659633532163,14.9559281871461,3.86819632529178,52.5,51.56,336,0.39,2.35294990560532,2.22842598329837,2.34833387612616,0,3
98,0.601538710341931,8.45035266488782,14.9767889227456,3.86994697225766,52.5,51.58,333,0.36,2.28519460937495,2.16118716468519,2.27426613063283,0,3
99,0.413730368210554,8.5014476339128,14.4870731554469,3.80820885126491,52.5,51.6,331,0.34,2.25505928816595,2.13840480141905,2.24921671005697,0,3
100,0.3053599625094,8.48403112689106,14.4136922410788,3.79721200715819,52.5,51.62,326,0.33,2.20928340662946,2.09526797524648,2.20075626231759,0,3
101,0.263180957398653,8.3797177874353,14.2434618250057,3.77420476117836,52.5,51.64,323,0.32,2.15899494214859,2.04438785721475,2.14987444417316,0,3
102,0.350123031971521,8.40062869418282,14.0375928529105,3.74781491907893,52.5,51.66,319,0.31,2.11301082219952,1.9976773170078,2.09816679435418,0,3
103,0.198748626382125,8.37886768355566,13.6186059646356,3.69069224763911,52.5,51.68,306,0.28,2.05526967917608,1.92775598185703,2.0294207883273,0,3
104,0.23624056185257,8.61910098103843,12.7388628546526,3.57116045247386,52.5,51.7,300,0.26,1.93375390010218,1.79330675374086,1.88071276265403,0,3
105,0.305763096927331,8.66383041653919,12.3269389558741,3.51093933952339,52.5,51.73,292,0.25,1.86125811349613,1.72602420330018,1.80775740267242,0,3
106,0.366152628800396,8.75992830842994,11.7289178221158,3.42471665025979,52.5,51.76,282,0.23,1.76193097273127,1.63385073749998,1.70527918249102,0,3
107,0.0441336481381543,8.90088134311925,10.8193706212075,3.28959426615853,52.5,51.79,270,0.23,1.66130912798584,1.54504737719183,1.60633010905569,0,3
108,0.25972617613732,8.80744864164145,10.4310886622292,3.23402849925369,52.5,51.83,256,0.18,1.55482883626949,1.4493677785885,1.50169273556388,0,3
109,0.0310932621249775,8.93114729926737,9.26831617089258,3.04438677096605,52.5,51.85,243,0.16,1.45803043325849,1.36116368085475,1.40572209990072,0,3
110,0.153323477418746,9.28441944644734,7.90121681792154,2.81227489208934,52.5,51.88,220,0.13,1.31354171810064,1.2290997901577,1.26905051209895,0,3
111,0.452359663049122,8.26729891773585,16.3816204191215,4.04749050197751,55,54.32,368,0.5,2.95341821489673,2.81386823560744,2.96831365286216,0,3
112,0.242302976986655,7.95476169973997,16.7057086593251,4.08926147833161,55,54.34,367,0.5,2.91744272153001,2.77855574004839,2.9344831281425,0,3
113,0.407897120369349,8.14076038719547,16.3439523709901,4.04298027526903,55,54.36,366,0.49,2.88559385044133,2.74872537565787,2.89967603507421,0,3
114,0.486220219850114,8.39264617576151,16.1723912437739,4.02260651614522,55,54.38,364,0.49,2.84585044763879,2.71012658982141,2.86290321552975,0,3
115,0.460828924598034,8.26494882460026,16.2785049989502,4.03498827880222,55,54.4,362,0.47,2.81046335374073,2.67293155826342,2.82376516204059,0,3
116,0.3849482269011,8.27269365217501,15.8841292400371,3.98573929176583,55,54.43,359,0.46,2.74258332680862,2.60737733660034,2.75850068780922,0,3
117,0.287566637483577,8.19706917847417,15.6706310176876,3.95907078724213,55,54.45,357,0.46,2.70414240859386,2.5685055856315,2.72178676059707,0,3
118,0.536889623844945,8.50765477298731,15.8889839121648,3.99032328497922,55,54.47,355,0.46,2.67975670416694,2.54651634824254,2.69721621283023,0,3
119,0.427102046689507,8.28380117382558,16.0837096816314,4.01061322079225,55,54.49,352,0.45,2.61490979538313,2.4831509634937,2.62881376580478,0,3
120,0.272475046255955,8.32553455709885,15.3015994260044,3.91241721639216,55,54.51,350,0.41,2.56792171619652,2.43591551176116,2.58124304446871,0,3
121,0.559966631408575,8.68248480546211,15.2821637011892,3.91119402113601,55,54.53,347,0.4,2.52654654522196,2.39270462635219,2.53661464618449,0,3
122,0.370528816054071,8.43905233960276,14.9091786358174,3.86180628756271,55,54.55,341,0.37,2.43395842557396,2.28234578423042,2.42065816659538,0,3
123,0.372709077375557,8.45869895865396,14.6552954561239,3.82819838350816,55,54.57,338,0.36,2.38235847523232,2.23539115936567,2.37425037469668,0,3
124,0.323472251509029,8.53641947457263,14.2225916621332,3.77135509728281,55,54.59,335,0.34,2.33345060241941,2.18740073937396,2.32142306058173,0,3
125,0.274581411305121,8.40976398117697,14.2523695098893,3.77596163189144,55,54.62,329,0.33,2.25718894833362,2.1202184304297,2.24369260958165,0,3
126,0.324342339542919,8.54760711210539,14.0421211689295,3.74751002739478,55,54.65,321,0.31,2.20745093354682,2.08410065589198,2.19940605997762,0,3
127,0.362289465221109,8.79419369680183,13.3578060444082,3.65536037616371,55,54.68,318,0.29,2.09435043924256,1.961426708291,2.06755905175883,0,3
128,0.376836712804229,8.87960262019528,12.9917832554832,3.60667175812815,55,54.71,309,0.27,2.00500344158078,1.87387699813649,1.97130165839089,0,3
129,0.23918902059069,8.71758508733843,12.51173553695,3.53716089459919,55,54.74,301,0.26,1.91673718170784,1.79107291482218,1.87722674842386,0,3
130,0.13703645613722,9.12974675077422,10.6970356598353,3.2740725415117,55,54.77,280,0.23,1.74201104017028,1.61281553379135,1.68340520708446,0,3
131,0.0957219600239717,9.0120754562075,10.383467605689,3.22232344157368,55,54.8,269,0.22,1.65726679618978,1.53854521729847,1.6001989154801,0,3
