idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,fx1_S,fx0d5_S,fx1d5_S,fx2d5_S,fx3_S,fx5_S,fx7_S,fx1_T,fx0d5_T,fx1d5_T,fx2d5_T,fx3_T,fx5_T,fx7_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1236,3.31243710284852,0.0224581415720083,0.0073662691388067,0.00665611315402244,0.0677749492180464,0.042052395461241,0.0225931854484564,2.562734288579,0.00602661802711477,0.00779746317705816,0.00605351645570017,0.0745092278731739,0.0405851601474044,0.0176008333351086,2.43574913120948,0.0174728279637304,0.0103763796407835,0.00202507788247184,0.0248212942170566,0.0398991987846227,0.0179003678076867,47.5,46.48,299,0.32,2.44230540945606,1.90265384951948,1.81887100949148,0,7
1237,3.27800400220218,0.0218860970960707,0.00752599927042309,0.0033568851514567,0.0981304216752279,0.0425506407118677,0.0208445925044016,2.55142235702647,0.00629702530914583,0.00466426123321247,0.00438237071810877,0.103401413925605,0.0421257302385537,0.0182199699238476,2.43335241131824,0.0154725310816981,0.0110556570337896,0.00204884984617228,0.0238178207284503,0.0378563011940445,0.0154652837292228,47.5,46.5,290,0.29,2.34236072033216,1.83141234879263,1.74200336202557,0,7
1238,2.93497182814176,0.0166269979272095,0.00992200816597267,0.0043136766017353,0.0785753038906642,0.0458335949261752,0.0162449878677362,2.29551062574092,0.00633885755704396,0.00393155613889781,0.00377049813627019,0.080565013153731,0.0453549998822239,0.0142334630097776,2.16815801664862,0.0124087104367497,0.0115383467038818,0.00196732683789646,0.0108034435496369,0.0344471177311397,0.0105664427253106,47.5,46.52,284,0.28,2.24954795790358,1.76361915408979,1.66839284697705,0,7
1239,2.24240114687352,0.0175673375263923,0.00558109686710327,0.00338236132354366,0.0831768149326624,0.0445665605921552,0.0209147278867318,1.76257785229537,0.00720158003209285,0.00895654636781955,0.00332382251560948,0.081198863962342,0.0407653541242302,0.017009239916825,1.68937374476009,0.012571997493926,0.00986009154922671,0.00225767826709068,0.00764364039020707,0.033580774778383,0.0136517784543553,47.5,46.54,279,0.27,2.19665906570542,1.72871104495981,1.62569799733795,0,7
1240,2.17813345398378,0.0219043584964902,0.00901177586177589,0.00321657324101598,0.0786952830138499,0.0429481462656319,0.0170160009231137,1.71890909876924,0.00652327988398304,0.0072653169056023,0.0036636407608698,0.0725199463853666,0.0403364744226216,0.0151588302301262,1.61972264688871,0.0184827069122346,0.011571669311298,0.00322156071341748,0.00360555469515014,0.0308881534059398,0.0122705101361718,47.5,46.56,267,0.25,2.07508454788533,1.64231349688007,1.53495316089594,0,7
1241,2.63126787973641,0.024191703311439,0.00958809686358284,0.00445012182406651,0.0636885711745099,0.0405381564293295,0.0129069101363989,2.06862072682517,0.0077098907367847,0.00509264595496193,0.00233538946800511,0.0563081380367874,0.0384405460646735,0.0127960221499727,1.92876090658509,0.0158809092658916,0.0147986640083986,0.00180157213504508,0.00526806360021003,0.0312702111917803,0.00954634375914912,47.5,46.58,262,0.23,2.01837713071555,1.60010087658211,1.49403479261089,0,7
1242,2.71667851725849,0.02787969501409,0.00690992696644967,0.00510183661997173,0.0766983644944326,0.0356301342929535,0.0147115410234087,2.15538710611134,0.0120156126013953,0.00644494070752958,0.00503787365841625,0.0652535314283794,0.032785099276706,0.0138170685460993,1.99854955204627,0.0168139096197381,0.0119222289357749,0.00206175421762495,0.0125256156690517,0.027463187812215,0.0113029966729193,47.5,46.6,255,0.22,1.94410466144737,1.55006236944891,1.43606449810995,0,7
1243,2.23726287808094,0.0266599262343778,0.00409899098306963,0.0067506497924539,0.0608698276021415,0.0309247845795322,0.0122361275866625,1.77891380467088,0.0127703606097353,0.00583619160771059,0.00557971140196147,0.0455985286813652,0.0279754731896481,0.010763068908484,1.62840611108991,0.0122698204684966,0.00834912473961857,0.0016516585610398,0.0140396946473939,0.0243745132009285,0.00958299556072351,47.5,46.62,231,0.18,1.7407758512243,1.39464752305224,1.28560351758664,0,7
1244,1.73853358973872,0.0226409116269098,0.00476061153323213,0.00451979099063359,0.0595659794938905,0.0330024806145634,0.0138950965081917,1.38643156547717,0.00986919778503005,0.00809081007948365,0.00295652774627747,0.0435523035352473,0.0293203453153885,0.013172476084484,1.26236804360026,0.014381808323023,0.0135135960296742,0.00281187634813453,0.0147326160000335,0.0240846088232109,0.011311591939098,47.5,46.64,225,0.17,1.68500492570064,1.35490152738565,1.24387646733509,0,7
1245,1.73849658227445,0.0242437650575784,0.00652943719200384,0.00514992114984224,0.062500351026329,0.0304115763908448,0.0122345488351422,1.41049594920285,0.0155220431390654,0.00537213844282724,0.00459951566854184,0.0456007447355554,0.0266730524873585,0.0100102773753617,1.30414851574612,0.00914126892946733,0.0122165245097988,0.00207721564314403,0.016186950041991,0.0233972918453565,0.00768379472548539,47.5,46.66,210,0.15,1.60734129890533,1.29895754434689,1.19126557137335,0,7
1246,3.93395274100525,0.0158338993012728,0.0101313674275178,0.00712817827290095,0.11410637917299,0.045013656511257,0.0249057142864187,2.98558250321505,0.00396138185532825,0.00692284213205038,0.00767519561926535,0.13094989556275,0.0473397515372362,0.0210648483106795,2.92198202392434,0.0191153388502072,0.00490972349192032,0.00223328707161935,0.0573798977965041,0.0494604288758685,0.0194833673139878,50,48.81,324,0.41,2.86078561334096,2.19114979235371,2.14429121374353,0,7
1247,3.43254906970481,0.0206560808868318,0.0120158757833143,0.00541123532158607,0.13319740939622,0.0510638546658348,0.0249018852938463,2.63039224114655,0.00732210965510838,0.00900673775309959,0.0035198923684307,0.151601728238497,0.0553226463825802,0.0207872797011935,2.56397827995258,0.0200489286531625,0.00741794297897417,0.00374478146454456,0.067198978403508,0.0542584453995398,0.0214457386653649,50,48.83,322,0.4,2.82472776071762,2.16600217945024,2.1118547012779,0,7
1248,2.51605733052582,0.0142263919983673,0.00724628100205978,0.00807756409619568,0.0886308420118119,0.039130619192224,0.022469714733768,1.91604124146027,0.00553957912254068,0.00745961252577206,0.00837809272852311,0.102002501099398,0.0485515974901665,0.0174632553959982,1.88129442288565,0.0173397351477342,0.00600399692028777,0.00335102506706443,0.043396927966365,0.0535531631400136,0.0163716896596465,50,48.85,320,0.4,2.78517150884315,2.13809311216008,2.07977088555389,0,7
1249,3.39464403444007,0.0206732999846757,0.0140069820748945,0.0054319402296328,0.115360919886136,0.0456023321688711,0.0229948980751586,2.59446949064605,0.00609469496140217,0.00577267765061474,0.00672062431046402,0.127285796439198,0.0520226245979234,0.020652019973355,2.53846982780321,0.0169820629929644,0.0100713525122637,0.00316024159948058,0.0526200166549891,0.0497612383102433,0.0179530427327235,50,48.87,315,0.39,2.72135301278039,2.0916379720224,2.02787518135155,0,7
1250,3.72162346850371,0.0162719413455416,0.010781016116864,0.00691423571429271,0.114506778963588,0.0509045093593801,0.0169144788105086,2.85505388752822,0.00215605786029252,0.00372368561454604,0.00349389447385001,0.126738151533593,0.050010402495615,0.0163539624000901,2.76781334129311,0.0178678916369492,0.00442182153912144,0.00329129593961818,0.0521393009540106,0.0452900304971896,0.0167181885999494,50,48.89,313,0.37,2.67053660759788,2.05553149057591,1.98283180919889,0,7
1251,3.59113087972434,0.0136433780482344,0.0113291208775386,0.00447811756434272,0.0910770658679803,0.0393899806494275,0.0249354074837676,2.76625209457304,0.00445966137024298,0.00591466519316228,0.00330575081198316,0.0986625185180458,0.0474846359912059,0.0207554090463265,2.65676753703109,0.0141666630029998,0.0097609659722903,0.00256089696182974,0.0380979842650323,0.0517472357812189,0.0187020151323263,50,48.91,310,0.35,2.61858924310456,2.02262964981273,1.94070559927974,0,7
1252,2.9854378652634,0.0172454796809603,0.0128916464380525,0.0077096813038986,0.114270172949201,0.0488013479261295,0.0256078127985157,2.297009155736,0.00780413361894082,0.00514668314990693,0.0054459457627652,0.126381441893975,0.0496139901240714,0.0201315244164592,2.23125684590525,0.0132498313200542,0.0101706384044134,0.00242275750552042,0.0456063665603161,0.0381436200380223,0.0177995356794865,50,48.93,307,0.34,2.56964163720652,1.98715077397166,1.90016870873456,0,7
1253,2.24895682972572,0.0209155996152376,0.0135423246208229,0.00667874050216542,0.0749885529149247,0.0420655856957054,0.0198847058517076,1.74262611488128,0.00878275236413379,0.00635847116899122,0.00538044865833469,0.0831039329053531,0.0434257259346276,0.0169087166655845,1.65485640912053,0.014952270831153,0.00903116661809911,0.00287948840240805,0.0271533677645809,0.0373172998159219,0.0130371247602105,50,48.95,303,0.34,2.51533049411622,1.94835124493199,1.85317227150842,0,7
1254,2.9098196035497,0.0172063945616381,0.00808533959538508,0.004732614737816,0.103448561823633,0.0411316119475062,0.0242700215300322,2.25432444288207,0.00516751208070107,0.00644408154099021,0.00353412033633148,0.111091251150147,0.0372909206355977,0.0207924334632881,2.15470202662472,0.0116463556214246,0.00738149877893658,0.00392876558690107,0.0328034681356074,0.0306518681877568,0.0184307859501765,50,48.97,301,0.33,2.44350861259714,1.89839956251654,1.79683037985287,0,7
1255,3.32561107612441,0.0228577348976116,0.00685896368978482,0.00350713212803443,0.0900115081426905,0.0439629264960117,0.0189780259900934,2.57693001354083,0.00731307929533905,0.00828734297370889,0.00287761566049364,0.0949664886394056,0.0475740838086403,0.0184728916389694,2.43470753622807,0.0153554161109578,0.0120252238077519,0.00188120310769815,0.0263120882544238,0.0325654622826726,0.017777823492672,50,48.99,299,0.33,2.42509814135004,1.89010265096437,1.7805574463876,0,7
1256,3.14851494192951,0.024788262087257,0.00572777161514445,0.0048897010328632,0.073427107479084,0.0468066782223704,0.0233874964415785,2.44922438208413,0.00566130943098236,0.00584153464768793,0.00427777004996528,0.0748020191539112,0.0490651129946423,0.0187795538576201,2.3020135665084,0.019516114142121,0.010580946157044,0.00359348586422383,0.0171515379504797,0.0368799536211927,0.0162795111639249,50,49.01,294,0.31,2.33717960602509,1.82928566177601,1.70825388101274,0,7
1257,2.72323859784019,0.0235427234123208,0.00571584868169908,0.00530263718376394,0.0989201880297601,0.0376140324263893,0.0166178218859958,2.12609716819935,0.00990982039021903,0.00792323044038788,0.00378221589902351,0.100888130476086,0.0367296888129591,0.0165517516213213,1.98005626568265,0.0132873044695916,0.0122674246932337,0.00216442145817627,0.0210200085358414,0.034834753533262,0.014235045544793,50,49.03,289,0.3,2.32368497514667,1.82137152628317,1.69933472556975,0,7
1258,2.15764097923015,0.0301929358735194,0.0111098689916492,0.00441585813967765,0.0679785845813058,0.0407247309011727,0.0170436673433897,1.6948242371564,0.00825729154110948,0.00512456961642184,0.00403363846091789,0.066541045247804,0.0423482923249486,0.0162693109943327,1.53991638963268,0.0208312594473458,0.0137623799227285,0.00193515467992656,0.00808467877430492,0.0317208855731773,0.0154137593171689,50,49.05,283,0.29,2.24039359399609,1.76532294646539,1.63481286750498,0,7
1259,2.69257039874692,0.0223512635411651,0.00739689072347877,0.00391463463643718,0.0890165187823327,0.0354303854588745,0.0201639579581641,2.14203726695915,0.00909258730505922,0.00843744649917586,0.00334892949098875,0.0838439312570792,0.0373082852121099,0.0187112032107776,1.97311625023521,0.0147952905001093,0.0154833767522431,0.00276809945129839,0.00351927867743725,0.0298416428396602,0.0157520873668492,50,49.07,273,0.27,2.18050260578488,1.72562908773668,1.59045514870277,0,7
1260,2.8858494464745,0.0245958241561381,0.00482703966726006,0.00474657624505727,0.0760685836187973,0.0316159929376502,0.0182133382230072,2.2784548082093,0.0110586955208735,0.00546471922202067,0.00324199563311657,0.0672920323132332,0.0316809138739265,0.0147353923644716,2.09107693962166,0.0146704947667712,0.0103251798002564,0.00209884590793402,0.00451502353159526,0.0277876641082035,0.0136466580342096,50,49.09,269,0.26,2.08413672946361,1.65547419468251,1.52015293792471,0,7
1261,2.77460004171982,0.0209520307887271,0.00786381459696588,0.00412526398145723,0.072663450478789,0.0320297756353723,0.0143086165496799,2.20166753342339,0.00949649646685938,0.0080442982579988,0.00297907050552009,0.0628255969388563,0.0287604810940619,0.0150066443500572,2.01564753237214,0.0129404953539577,0.0148920925170677,0.00187295564748897,0.00691553345142077,0.0239674469270298,0.0120634767341053,50,49.11,262,0.24,2.01440045008185,1.60768609244959,1.46853651975913,0,7
1262,2.33708341338208,0.0195678010000324,0.00533159322607973,0.00467585576376636,0.0748048930518143,0.031718363048139,0.0174949826674462,1.86278883995933,0.0113174446103705,0.00964219367958431,0.0040939340098799,0.0586618972759755,0.0289027451632304,0.015867242202513,1.68772408617711,0.0140187837134046,0.0114548299424377,0.00238504820509369,0.0143788521883352,0.0232661894561592,0.0140869276155505,50,49.13,249,0.22,1.89902768252897,1.52123390819138,1.38291556810872,0,7
1263,1.77070565568248,0.0220131592949289,0.00587022672190328,0.00442248429367945,0.0588825269824903,0.0342837052777783,0.0144789067642136,1.40575722550512,0.0133513599928002,0.00668809130844922,0.00461017413005586,0.0428504679367977,0.0339840408857818,0.0142077369785806,1.25868599708147,0.00892833157982375,0.0112667286324481,0.00218665651994779,0.0135389467289168,0.027001681821409,0.0127894434051593,50,49.15,248,0.21,1.81909909756808,1.46680959983766,1.32480838425523,0,7
1264,2.18909100911048,0.021152403198602,0.00439474344956076,0.00703112629631591,0.0678603252926579,0.0335743130744096,0.0148480900709422,1.77369562041254,0.0128586953271094,0.00701818776293119,0.00646272392016251,0.0501664002361775,0.0299076329986578,0.0145387211551003,1.609159779135,0.0111205578456193,0.00957747187476156,0.00273778469688302,0.0180059570650165,0.0237507000426118,0.0116428139443409,50,49.17,241,0.2,1.76381007830969,1.42448198626379,1.28374435590243,0,7
1265,2.34394599969655,0.0241399613697688,0.00207000789466271,0.00489863480590859,0.0619188209279695,0.0284807086794544,0.0116319966077687,1.90217538894906,0.013136435638338,0.00875782456689568,0.00420206924257235,0.0452418063331553,0.0258542543410857,0.011012490926475,1.70815805595581,0.0114771630153935,0.0114182486608752,0.00167292419131207,0.0179671572445866,0.0218275195274053,0.00875395450408122,50,49.19,225,0.17,1.6826313828401,1.36557837837871,1.22549816388706,0,7
1266,2.19131301684467,0.0234346169791404,0.00343538492097459,0.00555846993947306,0.0504952844436079,0.0229763392425261,0.012148706921858,1.77757295656054,0.01463002914667,0.00739432844843425,0.00433827887492379,0.0366764929871537,0.0234037361046418,0.0126672359503327,1.6030632638597,0.0102196190068539,0.00838907786629199,0.00180470226995436,0.0118124437655939,0.0181928890263234,0.0105141474673549,50,49.21,218,0.18,1.60012525194196,1.30421116169136,1.17411968452673,0,7
