idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
120,0.217322619291838,8.26309934380831,14.371730513661001,3.79290784505511,55.0,54.17,337,0.37,2.30269316941846,2.26540606592665,2.33162128358071,0,5
121,0.399140537532089,8.6781354510564,13.8396758144069,3.7219729092972202,55.0,54.2,332,0.35,2.22424138991633,2.18891693768827,2.2472689187417902,0,5
122,0.429779828797247,8.55408275602354,13.4405241037362,3.66665086595508,55.0,54.23,326,0.34,2.15245115808884,2.11794941756422,2.1721936553623102,0,5
123,0.240686609439851,8.46305397594832,13.2327979364766,3.6376549794761,55.0,54.26,322,0.32,2.09002786799472,2.05790546497219,2.1064968145389096,0,5
124,0.4834471576390851,8.76106601590972,12.753526362218599,3.57137864357315,55.0,54.29,315,0.3,2.0051547212642697,1.9729905186402101,2.01465256797062,0,5
125,0.36562944158970795,8.53389961914456,12.5817011056013,3.5470475916635493,55.0,54.32,307,0.27,1.9176893709508798,1.88866923033782,1.92348660273839,0,5
126,0.00417205895245302,8.65829059925067,11.5308290427966,3.3957490734232096,55.0,54.35,298,0.26,1.81499963014279,1.79215906442052,1.8193743586275102,0,5
127,0.455285714756546,9.00311445288018,11.2832279492801,3.3602720743190897,55.0,54.38,288,0.23,1.7346764279525302,1.7148569391330502,1.74006696144018,0,5
128,0.30550925755067304,8.96509799019358,10.430373627199,3.22988063596619,55.0,54.41,275,0.22,1.61966259403145,1.6055207561208702,1.6226381198622502,0,5
129,0.15174351384227402,9.087166949702961,9.46029534800902,3.07865402910751,55.0,54.44,258,0.19,1.49348898357728,1.4866212350066799,1.49741777537074,0,5
130,-0.100567214773203,9.17989849210422,8.66422883670222,2.94409887682272,55.0,54.47,244,0.16,1.3927037699376499,1.39027731442224,1.3931365597051697,0,5
131,-0.0110862168663517,9.35151926226652,7.1523633343106905,2.67444768879862,55.0,54.5,215,0.14,1.22307711551969,1.22429923737149,1.22397836562402,0,5
132,0.51152671638523,8.47222868895054,16.026765272745198,4.0033536464896695,57.5,56.32,376,0.56,3.0685340051696497,3.0333514493563905,3.11991715294486,0,5
133,0.419401050416934,8.34355478048759,15.6956492750527,3.96252140720556,57.5,56.35,373,0.53,3.01196756639651,2.9736078364353995,3.0655075679093597,0,5
134,0.33462217136529804,8.37668765813024,15.337361887360402,3.91953608265685,57.5,56.38,371,0.52,2.95946193333974,2.9190537938526497,3.00726470903622,0,5
135,0.40646393746082893,8.3886026836456,15.4845003705946,3.93574380600438,57.5,56.41,369,0.5,2.90312876145396,2.86018483896873,2.95116370583593,0,5
136,0.409835505532248,8.40874937120889,15.1720471181496,3.89560239722582,57.5,56.44,367,0.49,2.8566932319004303,2.8142468776157497,2.90692749146998,0,5
137,0.268497839529679,8.39504634012229,14.9440035688049,3.8663066414209597,57.5,56.47,364,0.48,2.7931582925915404,2.7495595589293904,2.84352419659923,0,5
138,0.415728199411642,8.52144814609146,14.8865042035768,3.85832266389153,57.5,56.5,361,0.47,2.7403742254616406,2.69661914009573,2.787884274478,0,5
139,0.383889972954705,8.563485177347049,14.627099114962402,3.82777209055737,57.5,56.53,359,0.45,2.6955848296650697,2.65364479455156,2.7414938954688597,0,5
140,0.318385351764978,8.490393063158441,14.499037832012801,3.8077471448045896,57.5,56.56,355,0.44,2.63044963255293,2.5924384097499202,2.67567588949658,0,5
141,0.42098451622386,8.72547985532125,14.140341613058,3.76165476763552,57.5,56.59,351,0.43,2.5490735807566898,2.51388316067962,2.59414501818382,0,5
142,0.558169944207374,8.87118050444194,13.836776706519101,3.7199612948455094,57.5,56.65,343,0.38,2.40271715429337,2.36653371337825,2.43321462231604,0,5
143,0.332536422199951,8.79807504123223,13.4570830265415,3.66971203236667,57.5,56.68,338,0.37,2.3281920918303,2.29268786889436,2.35328298881377,0,5
144,0.283683372487825,8.70851570289395,13.254913142822002,3.6428135635227,57.5,56.71,333,0.35,2.25139319820549,2.21874909044506,2.27239691062934,0,5
145,0.335467705543268,9.08703240698318,12.6579804313342,3.55841833888386,57.5,56.74,327,0.33,2.16890594803499,2.1361005416974197,2.18592110472284,0,5
146,0.274114841200927,8.83614420504112,12.637451142774,3.5549200408174904,57.5,56.77,321,0.31,2.0852654895228704,2.05268574153878,2.09960411403155,0,5
147,0.3755647605009121,9.01668720202425,12.1060614945771,3.4802187823226,57.5,56.8,314,0.29,1.997797652374,1.9670146510046798,2.00414994398358,0,5
148,0.218512195741636,9.22625230696885,11.5278120367915,3.3969914144207203,57.5,56.83,306,0.27,1.8976646826099801,1.8711946902039098,1.9023128818196002,0,5
149,0.370443826616267,9.471390209533679,10.966447423357199,3.31161978035833,57.5,56.86,299,0.25,1.84098165635815,1.81807617592361,1.84531297641604,0,5
150,0.29861684337771,9.327132703695641,10.8292226777289,3.2913214888389097,57.5,56.89,288,0.22,1.7349589572557802,1.71679205547123,1.73846034721401,0,5
151,0.30457913416180105,9.42690204055379,10.1599851109912,3.1874447491201603,57.5,56.92,275,0.22,1.6321285632199902,1.6188739568155899,1.63358370345983,0,5
152,0.10306880317252999,9.6325245016455,9.214929913402981,3.0374507082932096,57.5,56.95,258,0.18,1.5049398411843602,1.49699189448582,1.50501844510247,0,5
153,0.0713754646635405,9.839742555254249,8.456988024704401,2.91013217893062,57.5,56.98,242,0.15,1.3924938843287,1.3900659274009601,1.39480112607425,0,5
154,0.194081519648313,9.88309762895963,6.914090425091691,2.6296097018336098,57.5,57.01,217,0.13,1.2279358573588999,1.22761459902951,1.22893114993355,0,5
155,0.41080061964942405,9.39334652364865,14.893340524458301,3.86301734556314,60.0,58.88,379,0.55,3.1646460071242797,3.1325032826011903,3.2192821679647006,0,5
156,0.411259592630002,9.66165338589487,14.156588923161399,3.7652610409117298,60.0,58.91,377,0.53,3.1006144967708997,3.06713767696541,3.15701290468052,0,5
157,0.5522558416708879,9.589911869955289,14.3955302309779,3.79410953139207,60.0,58.94,374,0.52,3.03686870684768,3.0012603292588502,3.09567545354138,0,5
158,0.42984291795517793,9.64639454784306,13.3437679941284,3.6532274945809102,60.0,58.97,372,0.5,2.98520961776716,2.9484459620975203,3.03824927336559,0,5
159,0.41461149863523794,9.69860505137542,13.6531466291506,3.69770692790661,60.0,59.0,369,0.49,2.91735980621539,2.87697368186764,2.9706879177239003,0,5
160,0.481871803276153,9.56976794380858,13.788904578015002,3.7138284161042003,60.0,59.03,366,0.47,2.85173396699738,2.80763095531097,2.89882924826865,0,5
161,0.439814371736632,9.822047695157789,13.757350891109901,3.7095857573201902,60.0,59.06,363,0.45,2.79165680150543,2.7558427955488902,2.84557414030194,0,5
162,0.52446623442948,9.826681555764882,13.379821140817,3.65819893129929,60.0,59.09,360,0.45,2.72046937430519,2.6855269743447994,2.76585978013219,0,5
163,0.422841810360563,9.991081874297949,13.3001248156698,3.64999102977304,60.0,59.12,356,0.45,2.65320561140943,2.61384752364828,2.69227170079287,0,5
164,0.413865161808774,10.1223748258914,12.9677536874272,3.60126776778158,60.0,59.15,352,0.41,2.57746149348274,2.5365226419108997,2.61421523543159,0,5
165,0.42075975868442206,10.204180588373301,12.0170686598229,3.46719620483134,60.0,59.18,348,0.39,2.5143292130474304,2.47393832146529,2.55022402410402,0,5
166,0.46195291886165,10.126381632745199,12.853156058887599,3.58623231763446,60.0,59.21,340,0.38,2.4383560989463,2.3948335257410096,2.46211398589547,0,5
167,0.373109564138267,10.2098769635049,11.716753879363502,3.4229517515267096,60.0,59.24,339,0.36,2.35474312196571,2.31338473177337,2.3719944474834103,0,5
168,0.34272509589842304,9.899851241705711,12.208323764180602,3.4949609350014503,60.0,59.27,335,0.34,2.29020953350502,2.25683462258189,2.31997032795157,0,5
169,0.403312983395861,10.4925356616757,11.2841272593922,3.3593410011783,60.0,59.3,329,0.32,2.19665777463333,2.14956860227991,2.20067663064251,0,5
170,0.417464337069242,10.826473889893,10.959661820966899,3.31099438274669,60.0,59.33,321,0.3,2.09375395301694,2.0484702682734297,2.09390623275208,0,5
171,0.425210973292095,10.8833414486392,11.0918264596726,3.3304452647481297,60.0,59.36,312,0.28,1.9907519173544699,1.9512720332310602,1.98825663448825,0,5
