idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
26,0.47222791201098396,0.7937893917985679,2.00879148170875,0.1982204593087,0.937193884023294,0,1,1,45.0,44.29,275,0.24,1.83548515212653,1.64697706738967,1.62603687008326,0,6
27,0.46329337529761894,0.764549374598612,2.15480728651095,0.220307081624985,0.950697587419467,0,1,1,45.0,44.31,268,0.22,1.7794279736477,1.59806250372574,1.57437916536396,0,6
28,0.45258393380554207,0.7601903516640571,2.17379271294076,0.223799176833728,0.943328476997174,0,1,1,45.0,44.33,260,0.21,1.71832170064317,1.5463047273039,1.52051690943366,0,6
29,0.465360907120591,0.7755424919731351,2.15313948205841,0.211869896828943,0.933963580229124,0,1,1,45.0,44.35,248,0.2,1.62267711946942,1.46415417796839,1.43327170301009,0,6
30,0.45521267933947707,0.763556953713178,2.15759153726916,0.22015760875684698,0.932311439388525,0,1,1,45.0,44.37,238,0.17,1.5492240164201798,1.4007669277117198,1.3676622775453702,0,6
31,0.463266747835943,0.7721649962163921,2.1151293461745198,0.209088164140017,0.943472679695972,0,1,1,45.0,44.39,226,0.16,1.4630569641206301,1.3254584554829498,1.2942119042195501,0,6
32,0.460553100433171,0.780713259634001,2.04742479375241,0.197985470078617,0.953192465029667,0,1,1,45.0,44.41,215,0.14,1.38315245740513,1.2567314682585702,1.22299494306166,0,6
33,0.44524615692794606,0.7177102173226539,2.4818880804487997,0.282259061299346,0.8186195224279208,0,1,1,47.5,46.25,361,0.53,3.1191502410409395,2.74557577723046,2.82631937925948,0,6
34,0.4757965767137621,0.746368915227418,2.3812479558875097,0.24844469787690196,0.8743361307307941,0,1,1,47.5,46.27,359,0.52,3.0757860020364203,2.7038100452612595,2.7835604341787006,0,6
35,0.469845585974344,0.74714962418374,2.35666006458486,0.250072980327799,0.877319024202342,0,1,1,47.5,46.29,357,0.51,3.04501339221232,2.67657713885628,2.7517107408697496,0,6
36,0.465005486165361,0.746703304908828,2.36560823312149,0.250447670335094,0.880491931023514,0,1,1,47.5,46.31,356,0.5,3.01616592751886,2.65417689029059,2.725752729152,0,6
37,0.45890914160484797,0.731336297683127,2.4379554335946603,0.266873388552377,0.853348234728105,0,1,1,47.5,46.33,355,0.5,2.98468087601369,2.62218657886151,2.6913694515135895,0,6
38,0.47745419246638393,0.736561436589426,2.43438977153211,0.25844977011521003,0.8156794115112801,0,1,1,47.5,46.35,353,0.49,2.94820022372896,2.59368677083143,2.6567833369636,0,6
39,0.47746855521526893,0.755309828091483,2.3242365556725897,0.24276133984536602,0.8580046941271371,0,1,1,47.5,46.37,351,0.48,2.9044149153162,2.55486487710283,2.61608058110066,0,6
40,0.465878343318943,0.748301355922057,2.3423042624147405,0.252226499588895,0.8680893005670071,0,1,1,47.5,46.39,349,0.47,2.8694715224000604,2.52486548137187,2.5844835196794,0,6
41,0.471969455793695,0.75576649838266,2.28495486737828,0.243870245728709,0.8892542507480592,0,1,1,47.5,46.41,347,0.46,2.82162102952182,2.4836551157314597,2.53739923184875,0,6
42,0.462621730647701,0.739360600952297,2.36467230250669,0.254279967729607,0.8850487456035949,0,1,1,47.5,46.43,345,0.45,2.7798594575433304,2.45015332270442,2.49889078155457,0,6
43,0.46402883348491,0.7310369027428509,2.42271682018063,0.269804413921042,0.8262387319076898,0,1,1,47.5,46.45,343,0.44,2.73485947385328,2.41232749662469,2.45718025863294,0,6
