idx,Skewness_X,Kurtosis_X,Variance_X,RMS_X,Skewness_Y,Kurtosis_Y,Variance_Y,RMS_Y,Skewness_Z,Kurtosis_Z,Variance_Z,RMS_Z,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
19,0.0615860405466757,17.7057356712364,1.49081464366749,1.81309468418121,-0.0371020211168771,17.6995304071389,1.49107775877202,1.85369501640817,0.172114869439249,18.4318086480951,1.48999132269438,1.83241187073371,45,44.23,324,0.34,2.11083612943326,2.11203833521229,2.16164576214241,0,1
20,-0.203969147996307,17.263551842581,1.52046805098291,1.84291209159283,-0.272992275698721,18.3620502186166,1.51332435428739,1.83303931985165,-0.261424157221426,17.6773188627441,1.49168523148386,1.809778567657,45,44.25,320,0.33,2.06123932813246,2.06391630193295,2.1105928561721,0,1
21,0.119132642900373,17.368283090996,1.4876415275235,1.89390933208014,-0.00226388187656214,17.9599426619398,1.54410869174143,1.88153717879591,0.143232714687952,17.916179876544,1.51514398035854,1.90684766433144,45,44.27,316,0.32,2.01081085586375,2.01560681612094,2.05914995650377,0,1
22,0.204861920325464,17.0779673281348,1.47481418399281,1.86151579417529,-0.0485854938836264,17.3829585824044,1.4743766220203,1.89935691735224,0.312218139389339,17.3430885370802,1.4534596073396,1.86985919630921,45,44.29,312,0.31,1.96147056154453,1.96572683990364,2.00281782269486,0,1
23,-0.182539529899827,16.2938906713399,1.41075202611566,1.82791556204469,-0.222018063973126,17.8352622054444,1.44281693648002,1.86331250944387,-0.169333517044792,17.4522796265596,1.43349145313226,1.8450595655589,45,44.31,307,0.29,1.91040520501138,1.9158881769826,1.95320465985268,0,1
24,-0.0582497546033961,17.7655591617197,1.30693229780112,1.79119609450534,0.140145001630242,17.7375445575508,1.34774060055894,1.82828990819725,-0.0124604009964864,17.1952636080922,1.35984935759307,1.82087580399771,45,44.33,301,0.28,1.85623660427104,1.86225931463635,1.8947654792817,0,1
25,-0.0398834395254989,17.8893373206799,1.31677143656982,1.8310264567489,0.144139864104654,17.2115969404602,1.31331704519489,1.79807058723164,0.171400648561274,15.9479955880536,1.32759515244512,1.81076523653157,45,44.35,294,0.26,1.77972825033668,1.78528580114164,1.81311335194798,0,1
26,-0.21050348004641,17.5255253960567,1.32644530821249,1.83946618084452,-0.156208881905571,17.2598065449153,1.29778954623572,1.79775071825546,-0.245731427518421,16.9723735271315,1.30913497404606,1.81043587335821,45,44.37,287,0.25,1.72414665785548,1.73244484054361,1.75509638760941,0,1
27,-0.120635766185964,15.8876823490731,1.20716492298923,1.73256802312495,0.120674946655432,17.2770889928685,1.22902975762094,1.78864690125321,-0.00479713517340823,17.1737378691346,1.23633458173901,1.77529022686637,45,44.39,278,0.23,1.66354140657931,1.67329933519543,1.6913009189294,0,1
28,-0.0805301710507862,16.5495947854113,1.11139104505439,1.71421884397931,-0.0228525704055833,16.0200310080278,1.17349514754821,1.76457818008076,-0.117804035911208,17.3002437452556,1.12209062086322,1.72103388271492,45,44.41,270,0.21,1.59107313022266,1.60367667356043,1.61811928396378,0,1
29,-0.286347496674122,16.3199166495943,1.09443986594161,1.73585895266718,-0.208808785795945,18.1393851058706,1.08803483915684,1.70456015512824,0.0124625462432639,16.7266541073188,1.07385614412823,1.70187289979332,45,44.43,259,0.19,1.51974737579899,1.53381747650768,1.54398668101489,0,1
30,0.204589068034403,16.0226477242579,0.995120265037735,1.71415799445719,0.0726290421759643,17.013052040444,0.991444808742577,1.73757431639154,0.256154505223697,17.3127391213108,0.997405374114704,1.72306702001392,45,44.45,249,0.17,1.44441124526874,1.45944874662495,1.46792643961098,0,1
31,-0.343444891232152,16.0640510129769,0.916849278337062,1.69561227773293,-0.235649988873153,15.9081684791304,0.915201428093577,1.72887026763434,-0.150138336409916,15.6344047490085,0.903835945813227,1.70134125592817,45,44.47,235,0.13,1.35065484966597,1.36738695873234,1.37274875592562,0,1
32,-0.0916068111136345,16.3622718231026,0.798252845598774,1.65365397568434,0.144260562714858,15.5327727174288,0.790420239183003,1.68016375840709,0.063309806772183,15.3267891907761,0.775700667912198,1.65750841409863,45,44.49,212,0.12,1.20135414559844,1.21717108952675,1.22032662320949,0,1
33,-0.0383145141056414,17.7386057781448,2.0002744943375,1.98750141108233,-0.281343726468418,17.4214687342715,2.05750721300401,2.02885039161988,-0.162273278480637,17.4697920799003,2.02383283394072,2.00285300604619,47.5,46.33,373,0.58,2.98729907354967,2.99860438744414,3.06045102364073,0,1
34,-0.2691294559575,17.9903084055005,2.08336700217458,1.97459860323336,0.149996976172994,16.4456632684615,2.11317881756952,2.01248845743808,0.0271949595576561,16.0192838587718,1.99626509165305,1.95659715763787,47.5,46.35,372,0.57,2.95075775888202,2.96085948347133,3.0257014511,0,1
35,-0.13928938283722,17.9775736314092,1.99564080674319,1.97099392610136,-0.0245145789326181,17.1388949336211,2.02240349125402,1.96887501224973,-0.0920775478842324,18.0044428396775,1.99470726267802,1.94966657075391,47.5,46.37,371,0.56,2.91523326290469,2.92813738363723,2.99093637665335,0,1
36,-0.167471938033581,16.8944153335564,2.01903736524562,1.99665687090839,0.0108821995129191,17.1984849108793,1.98976016533011,1.9682014979742,-0.0281937746526067,17.2930414951432,1.99371460083909,1.9810508106408,47.5,46.39,369,0.55,2.88625203571036,2.89636706112283,2.96063622876526,0,1
37,0.0969550927121455,17.1145735217397,1.93514920659649,1.97147887320958,-0.0997456259944115,17.5774875269077,1.8878218104818,1.98068954295956,-0.17404956804887,17.6090131865179,1.92342953628392,1.97346994422631,47.5,46.41,367,0.53,2.83895360225709,2.84913553076617,2.91274135112286,0,1
38,-0.0443752168544834,17.1818725611086,1.79604246410928,1.97898185016211,-0.329963592892146,17.914612614672,1.8461156845927,1.94975921486329,-0.288171296610532,17.2615585507208,1.85829659343091,1.97279103718283,47.5,46.43,365,0.52,2.80361845982614,2.81534605448329,2.88306825840673,0,1
39,-0.104912216413011,17.3709465793668,1.88899575180604,1.93164743162262,-0.0958857676511716,17.5127450767151,2.00582934067883,1.99309450695297,-0.0184417376946684,16.5872323653175,1.92275371433335,1.96508931089183,47.5,46.45,364,0.52,2.76616067517851,2.77653395556972,2.84414524969707,0,1
40,-0.0173611280913391,17.4569770232174,1.91749283674983,1.95746520364522,-0.0645816267259265,17.4409682057146,1.94140880685846,1.92995166190051,0.00146161153043573,17.1891344896011,1.92851662868665,1.94722456444182,47.5,46.47,362,0.51,2.72921064695173,2.74004123307032,2.80845238792777,0,1
41,-0.016367512613819,17.1136956383321,1.85223595678402,1.92323761370969,0.0882072266863852,17.1570187799225,1.84724638657293,1.95584022564671,0.016617364280459,17.6002558410782,1.89168591104252,1.95391827889416,47.5,46.49,360,0.5,2.69951064285488,2.70798618957842,2.77376603325247,0,1
42,0.067968439967654,17.1028535713406,1.84994448171929,1.98052768618669,-0.0326510324498388,17.4572833220564,1.87905616975057,1.95002291687,-0.134141461073527,17.2459140203703,1.89339509331645,1.96059158519239,47.5,46.51,359,0.49,2.66080687564733,2.67166978365419,2.73862564113486,0,1
43,-0.370062171172035,18.2491041607176,1.84247010257924,1.97323236390292,-0.0243792694384399,17.1779209599204,1.89727153083334,1.95477849376082,0.276016450490015,16.8353260789677,1.82502013587577,1.95190070179525,47.5,46.53,356,0.47,2.61041089486897,2.61942873898421,2.68751657273172,0,1
44,-0.162660541734861,16.6637066686219,1.83720554520394,1.94863021942159,-0.373729987310007,17.7831895999204,1.85682246931498,1.91849481079955,-0.269525710253847,17.1340824808093,1.87090779748691,1.9457204667152,47.5,46.55,354,0.46,2.57644552786149,2.5858546380657,2.65368468102491,0,1
45,0.00604546743062716,17.1603554557803,1.80474699357224,1.92821891682821,0.0211104033494728,17.6294168457981,1.81703707149396,1.90665232341105,-0.0668296515423961,17.33145739593,1.7881161391246,1.9018619737036,47.5,46.57,352,0.45,2.53434268080105,2.54236257699634,2.61262948386405,0,1
46,-0.223984676192834,17.4118712988279,1.80533544974757,1.90448402365717,-0.277191206200714,18.2353263955543,1.8613121514816,1.94085949624171,-0.377153973486155,18.1253164133844,1.81087399794784,1.89768942769704,47.5,46.59,350,0.45,2.49726302572737,2.50304691132893,2.57337475973026,0,1
47,-0.13463739037078,17.2559650317139,1.7395390973089,1.88995591818228,-0.419332588098298,17.947351247989,1.79294099156948,1.92663028529911,-0.206532036838584,17.3341691863711,1.76016380062457,1.89268585343643,47.5,46.61,348,0.43,2.45340038559853,2.46186057820874,2.53172925384786,0,1
48,-0.0694160070289573,17.688505042221,1.80296257952099,1.94505152238508,-0.226805744554172,16.9565123312791,1.78660483132736,1.97227652100065,-0.357380852905711,17.5972365970525,1.77662281671489,1.94574947857718,47.5,46.63,345,0.42,2.40911802520674,2.4183634161363,2.48632327744582,0,1
49,-0.356643361759498,17.7098707058421,1.6855724416374,1.86737284784879,-0.133773934786991,16.8581196066037,1.72959335001649,1.91650718864324,-0.172537446911855,17.6243920191455,1.67988618265293,1.87752913931106,47.5,46.65,343,0.41,2.3672859596711,2.37651424845071,2.44300093479042,0,1
50,0.0651343658019238,17.0463098891397,1.65392003468646,1.88086825134322,-0.109220861822369,17.1072555188672,1.65431686289717,1.90358391506535,-0.0156848311512652,17.4285100530309,1.70181046194147,1.90634851864845,47.5,46.67,338,0.39,2.30426520468086,2.30778349482997,2.37780266537046,0,1
51,0.105470049052725,17.3976739209647,1.69950310626979,1.91742809861644,-0.0360084568367804,18.0284120498725,1.69212215692639,1.88772216366377,0.105878845136231,17.0791956465804,1.68915619924268,1.90094451983678,47.5,46.69,335,0.38,2.26018006441819,2.25617954931095,2.3230646550828,0,1
52,-0.266074667741602,17.4884770427017,1.6541543860102,1.90184164816759,-0.121095315290261,17.690917790333,1.65641570316989,1.87980141998805,0.0697760633378464,17.383157079511,1.64648105199135,1.89099607553287,47.5,46.71,332,0.37,2.21151223389825,2.20962679142829,2.27068758295176,0,1
53,-0.0637595728216808,17.5738641086968,1.6145832804556,1.85633780537052,-0.113872438957616,17.3087351720915,1.64226054229724,1.90094604808775,-0.0138107610530271,17.1330192416777,1.64578995091315,1.89087746408604,47.5,46.73,329,0.36,2.16707550197683,2.16497996546063,2.22257090603593,0,1
54,-0.362076463541762,17.8868627117899,1.60380888457027,1.85717108031926,0.0302687760632851,17.2911829233631,1.60325745348676,1.89574072927845,-0.0771241917086786,16.8261948181968,1.63159097815099,1.88934609592988,47.5,46.75,325,0.34,2.11921931558645,2.11793735472006,2.16928551643988,0,1
55,0.106794516327335,16.7035131862196,1.57852327825959,1.87431515928197,0.0207083873756904,17.4986270152424,1.58286725466075,1.89618534719434,-0.194424844307035,17.6335338032561,1.58141125457177,1.87959872194589,47.5,46.77,322,0.33,2.07144758869064,2.07254687093046,2.11941024965506,0,1
56,-0.23231753173492,17.3074202843817,1.53363741179889,1.86124637899502,-0.00654464775665061,17.4587518679855,1.4743890631292,1.81244782317129,-0.0672085562518864,17.3548494875304,1.49509023301037,1.83745616409667,47.5,46.79,317,0.34,2.01590910548213,2.01685763811309,2.0592749601286,0,1
57,-0.184101542341671,17.1142582531656,1.4283555256657,1.80691374597357,0.0209159965876923,17.2776802222444,1.43750769648253,1.8468238722734,-0.00196341847049507,17.23760235871,1.4699905071552,1.84417305249825,47.5,46.81,311,0.3,1.95133259579842,1.95234420287552,1.99084417501645,0,1
58,-0.135857252221078,16.8896871021723,1.45901915221767,1.8482180983033,-0.200520571523499,17.0349545402976,1.43417855120562,1.81252439476896,-0.118212995731604,17.7602016532294,1.47802786969014,1.84341554849394,47.5,46.83,306,0.28,1.89416665751069,1.89641695519824,1.93042485644483,0,1
59,-0.0539259227367562,17.3055191930064,1.39046843773195,1.85961855294269,-0.218632434436875,17.7354554831367,1.42815021549162,1.82907853920584,-0.183084076063416,17.0836181793663,1.41144741435273,1.83361210875884,47.5,46.85,300,0.27,1.83188163377248,1.83642750152721,1.86564469032524,0,1
60,-0.103735037328197,16.9873811803862,1.35645026620723,1.81150306238802,-0.384185076825801,17.6218682357626,1.3658846560542,1.77464853456289,-0.292402342004022,17.0983511700465,1.34340023316457,1.78765131854327,47.5,46.87,292,0.25,1.7685498362588,1.77653028166095,1.80168899591741,0,1
61,-0.327440019134986,16.7875834937242,1.28047892173291,1.75149870236943,-0.163082399318019,16.4514014484667,1.30756674944651,1.80776327062389,0.0783437584897031,17.0477171801318,1.26435796249311,1.77384699318249,47.5,46.89,286,0.23,1.70361194518717,1.71078772610392,1.73349204024222,0,1
62,0.233814746817449,16.1311847034004,1.19421235349819,1.78695669976307,0.226255897781821,17.213296809325,1.18182061582419,1.81494778259226,0.147146448737331,16.7484374266163,1.17449737164898,1.80296319894756,47.5,46.91,276,0.22,1.63460264057931,1.64406205160078,1.66200724596495,0,1
63,0.103954810543608,17.7083073905691,1.12849623224693,1.73196365480355,0.0644348390415528,16.4478450529648,1.1356603412023,1.76512222940226,-0.0512474681746692,17.0331239087601,1.14480644121586,1.75280902089602,47.5,46.93,266,0.2,1.56231232184662,1.57301100722688,1.58795421613735,0,1
64,0.044393014452697,17.016428654256,1.03569905948248,1.75967771396119,-0.0630931610809623,16.3570877281026,1.0532777992758,1.72599940369753,0.155389924153848,16.9127119033807,1.04660759638489,1.73440934521001,47.5,46.95,252,0.18,1.45425314498627,1.46928811817512,1.47728002815987,0,1
65,0.116967801690443,17.3268987534135,0.94873979828963,1.67044676337522,0.0246227893630919,16.1568593468489,0.964471269308879,1.71205968696018,0.217760968260013,16.3358379450365,0.953080739951151,1.69860430108443,47.5,46.97,232,0.15,1.36193968014516,1.37736704198241,1.38376647710521,0,1
